ʃʌparaj	butterfly
qanʌt	wing
suraʃmʌɣ	to greet / ask permission
qʊd qʊd qɛlmʌɣ	to cry (bird)
tʃundak	beak
wutʃmʌɣ	to fly
qʌtʃmʌɣ	to escape
bɛrtasɛ / dɛgasɛ	one / the other
qʊʃ	bird
kulgɛli	funny
kuldɛrmʌɣ	to trick; also to make laugh?
qulurdu	military base
xʊrus	rooster
tɛʃɣan	mouse
wuzanmʌɣ	to rest
zaŋ wurmʌɣ	to call on the phone
qɪʃ	Winter
kʊk	green / blue
kʊkarmʌɣ	to sprout
xajrʌt	[meritorious act]
nazr	[meritorious act]
sɛdaqa	[meritorious act]
jaŋʌɣ [or] jaŋgʌq	walnut
el	people
farz	requirement
ɪndɛ	now
dʒanda	Nawruz pole
wurmʌɣ	to hit
bʌʃlamʌɣ	to begin
kar	deaf
jebɛtmʌɣ	to soak (something)
deʃ	serving dish
dʒalɣʊza	[pine nut thing]
qatʃʌn	what time?
eʃʌn	[Rawza caretakers]
wugaj ʌna	step-mother
wugaj inʌɣ	step-brother
asli ʌna	real-mother
kundʌʃ	sister-wife
qaramʌɣ	to look, to look after
wʊtkarmʌɣ	to carry on (figurative)
suhulat	fringe benefit
ɛmtjʌz	fringe benefit
qawʊn	honeydew melon
qi	dung
qaljun	hookah
qaljunxʌna	hookah parlor
zʊɣʌl	charcoal
zarwarʌɣ	aluminum foil
tʃakmʌɣ	puff
otomʌt	automatic
tʌm	room
danda	manual (transmission)
nokakɛ	hookah mouthpiece
saqɛz	gum
majɛz	raisins
jʌnmʌɣ	to burn
jʌndɛrmʌɣ	to set fire
jʌqmʌɣ	to set fire
xʊdsus	self-lighting (charcoal)
alaw	fire
ɪslamʌɣ	to smell (something)
tambʌku	tobacco
taramʌɣ	to comb (hair)
tarʌɣ	comb
qʊrʊtmʌɣ	to dry (something)
qʊrʊɣ	dry
qajitʃɛlmʌɣ	to use scissors
qen	difficult
dʒɛdi ʌlmʌɣ	to be serious
xʌtɛra	memory
ɛʃtɛrʌk	visit
bʌqmʌɣ	to provide
kormʌɣ	to see
korsʌtmʌɣ	to show to
sarmʌɣ	to wrap
samʌnxʌna	tool shed
baɣlamʌɣ	to fasten
tartmʌɣ	to pull
sɪz	without
juk	load
simɪz	fat
arəɣ	skinny
simɪrmʌɣ	to become strong
nʌla qəlmʌɣ	to complain
juramʌɣ	to go about
jamʌn	stern
jega	owner
tʌʃamʌɣ	to transport, to overflow
utʃun	because of
kalta	short
wuzun	far
jʌʃ	young [or] tear (from eye)
ajlanmʌɣ	to turn
majlɛ	please
samʌrʊq	mushroom
qʌlmʌɣ	to stay
ikan	too much
kʊtarmʌɣ	to pick up
wulmʌɣ	to die
bərʌz	small quantity
juklamʌɣ	to transport
jul	road
wuzʌɣ	far away
woɣrɛ	thief
qɛta	playing cards
qɛta winamʌɣ	to play cards
sɪgrɛt tʃaqmʌɣ	to smoke
toɣrɛ qəlmʌɣ	to aim
teʃi	hole
teʃmʌɣ	to make a hole
hamʃundʌɣ	in the same way
qʊdʊɣ	well (water)
bərʌn waqt	sometimes
tuzatmʌɣ	to fix
tuzalmʌɣ	to be fixed
ʌtʃmʌɣ	to open
ʌtʃʌlmʌɣ	to be able to open
iʃlamʌɣ	to work
jaʃamʌɣ	to live
tʃʌpmʌɣ	to run
tʃartʃamʌɣ	to be tired
ketmʌɣ	to go
kelmʌɣ	to come
ʌlmʌɣ	to take
qʊjmʌɣ	to place
bermaɣ	to give
tʊrmʌɣ	to stand
wʊltarmʌɣ	to sit
jemʌɣ	to eat
tajlamʌɣ	to pour
wʊqamʌɣ	to read
wʊxlamʌɣ	to sleep
bɛtmʌɣ	to write
